일련번호,노선명,기점,종점,도로연계성,자전거도로종류,연장(km),도로부지,하천부지,전용도로,전용차로,우선도로,분리형겸용도로,비분리형겸용도로,보행량(점)
134,행신로,가라뫼사거리,능곡사거리,Y,겸용도로,1.78,도로측,,,,,,4.8,3
135,화신로L,중앙로 교차 사거리,서원로 교차 사가리,Y,겸용도로,0.87,내측,,,,,1.5,,3
136,화신로R,중앙로 교차 사거리,서원로 교차 사가리,Y,겸용도로,0.87,내측,,,,,1.5,,3
137,충장로2L,행신초등학교앞,행신동 999-2번지 앞,Y,겸용도로,0.34,내측,,,,,1.5,,4
138,충장로2R,행신초등학교앞,행신동 999-2번지 앞,Y,겸용도로,0.32,내측,,,,,1.5,,4
139,백양로L,옥빛마을 15단지 입구,중앙로 교차 삼거리,Y,겸용도로,0.34,내측,,,,,1.1,,2
140,백양로R,옥빛마을 15단지 입구,중앙로 교차 삼거리,Y,겸용도로,0.34,내측,,,,,1.1,,2
141,성신로1L,백양로 교차 사거리,충장로 교차 사거리,Y,겸용도로,0.63,도로측,,,,,,3,3
142,성신로1R,백양로 교차 사거리,충장로 교차 사거리,Y,겸용도로,0.63,내측,,,,,1.2,,3
143,얼음들길,토당동318,토당동476-1,Y,우선차로,0.55,내측,,,,4,,,3
144,토당로,능곡사거리,토당동331-9,Y,겸용도로,0.62,내측,,,,,1.52,,3
145,충장로152번길,충장로 교차 삼거리,화신로 교차 삼거리,Y,겸용도로,0.43,내측,,,,,1.5,,3
146,중앙로558번길,중앙로 교차 삼거리,화신로 교차삼거리(장미란체욱관),Y,겸용도로,0.81,내측,,,,,1.5,,2
147,햇빗마을23단지옆길,중앙로 교차 사거리,충장로152번길 교차 삼거리,Y,겸용도로,0.19,내측,,,,,1.5,,3
148,화신로,백양로 교차 사거리,중앙로 교차 사거리,Y,겸용도로,1.7,내측,,,,,1.5,,3
149,토당로67번길,토당동331-9,토당동301-25,Y,겸용도로,0.31,내측,,,,,,2.5,2
150,가좌1로L,송포로 교차 사거리,송산로 교차 사거리,Y,겸용도로,1.97,내측,,,,,2,,2
151,가좌1로R,송포로 교차 사거리,송산로 교차 사거리,Y,겸용도로,1.62,내측,,,,,2,,2
152,호국로716번길,호국로 교차 삼거리,동신3단지 304동앞,Y,겸용도로,0.41,도로측,,,,,1.2,,1
153,덕양어울림내부도로,태영6단지,어울림누리앞 교차로,Y,겸용도로,0.46,도로측,,,,,1.3,,1
154,주엽.후동공원길,노래하는분수대,일산역,Y,겸용도로,2.11,내측,,,,,3,,4
155,낙민.마두공원길,사법연수원,백마역,Y,겸용도로,2.21,내측,,,,,3,,4
156,킨텍스내부도로,시민대로,신우아파트,Y,겸용도로,1.09,도로측,,,,,2.2,,4
157,장백로,의정부지방검찰청고양지청,호수마을208동과 강촌로교차점,Y,겸용도로,0.89,내측,,,,,,3,2
158,신원당길,고양대로,동신3단지,Y,겸용도로,0.33,내측,,,,,,2.6,2
159,송산로,시민대로,가좌마을길,Y,겸용도로,4.24,내측,,,,,,1.8,1
160,덕이로,송산로 교차삼거리,파주시계,Y,겸용도로,1.63,내측,,,,,,2,2
161,송포로,송산로 교차삼거리,시민대로,Y,겸용도로,2.37,내측,,,,,,1.8,2
162,중산로L,고양대로 교차 사거리,무공화로 교차사거리(풍산역앞),Y,겸용도로,1.09,내측,,,,,1.8,,2
163,중산로R,고양대로 교차 사거리,무공화로 교차사거리(풍산역앞),Y,겸용도로,1.09,내측,,,,,1.8,,2
164,숲속마을로3L,풍동 766번지,풍산로교차삼거리,Y,겸용도로,0.33,내측,,,,,2.1,,1
165,숲속마을로3R,풍동 766번지,풍산로교차삼거리,Y,겸용도로,0.32,내측,,,,,2,,1
166,풍산로L,숲속마을로 교차삼거리,애니골길 43번길교차로,Y,겸용도로,0.6,내측,,,,,1.5,,1
167,풍산로R,숲속마을로 교차삼거리,애니골길 43번길교차로,Y,겸용도로,0.6,내측,,,,,1.5,,1
168,하늘마을로1L,고양대로 교차 사거리,중산로 교차 사거리,Y,겸용도로,0.43,도로측,,,,,1.5,,3
169,하늘마을로1R,중산로 교차 사거리,고양대로 교차 삼거리,Y,겸용도로,0.58,도로측,,,,,1.5,,3
170,소원로L,서정마을사거리,서정4교,Y,겸용도로,0.76,도로측,,,,,1.5,,3
171,소원로R,서정마을사거리,서정4교,Y,겸용도로,0.76,도로측,,,,,1.5,,3
172,소원로,서정4교,용현로 교차삼거리,Y,겸용도로,0.94,도로측,,,,,,3,3
173,문촌18단지공원길,문촌1805동,한수중교와 후곡로교차점,Y,겸용도로,0.42,도로측,,,,,3,,3
174,통일로L,동산삼거리,신원초등학교 앞 교차로,Y,겸용도로,2.92,도로측,,,,,1.5,,3
175,통일로R,동산삼거리,신원초등학교 앞 교차로,Y,겸용도로,2.92,도로측,,,,,1.5,,3
176,능안공원길,능안공원,백마로 교차 사거리,Y,겸용도로,0.28,도로측,,,,,,4,3
177,백마5단지공원길,백마로와 백마5단지 교차점,백마초등학교,Y,겸용도로,0.32,내측,,,,,3,,4
178,흰돌마을공원길,백석로와 흰돌310동 교차점,일산로와 흰돌406동 교차점,Y,겸용도로,0.4,내측,,,,,3,,3
179,장성초교공원길,고양대로와 성저마을 4단지 교차점,장성초교,Y,겸용도로,0.34,내측,,,,,3,,3
180,후곡마을공원길,신일비즈니스고교,신일중학교,Y,겸용도로,1.51,내측,,,,,3,,3
181,문화초교공원길,성저공원,저동고등학교,Y,겸용도로,2.25,내측,,,,,3,,3
182,문촌마을공원길,문촌6단지,발산중학교,Y,겸용도로,1.56,내측,,,,,3,,3
183,낙민초교공원길,강초마을8단지,백신중학교,Y,겸용도로,0.73,내측,,,,,2.8,,4
184,백마마을공원길,백석로,백마공원,Y,겸용도로,0.72,내측,,,,,2.8,,3
185,마두공원길,능안공원,백송마을2단지,Y,겸용도로,1.45,내측,,,,,3,,3
186,강선17단지공원길,강선1506동,강선1704동,Y,겸용도로,0.16,내측,,,,,3,,3
187,경의로공원길,일산지하차도,곡산역,Y,겸용도로,6.62,내측,,,,,4,,3
188,곳산길,송산로와 곳산로 교차점,법관1교,Y,겸용도로,1.6,내측,,,,,,2,2
189,서정마을2로L,행신로 교차 사거리,서정고등학교 정문앞,Y,겸용도로,0.39,내측,,,,,2,,3
190,서정마을2로R,행신로 교차 사거리,서정고등학교 정문앞,Y,겸용도로,0.39,내측,,,,,1.5,,3
191,성사천로L,소원로 교차점,서정고교옆,Y,겸용도로,1.14,,고수부지,,,,3,,3
192,성사천로R,소원로 교차점,서정고교옆,Y,겸용도로,1.2,,고수부지,,,,3,,3
193,호수공원,-,-,Y,겸용도로,5.62,내측,,,,,3,,5
194,난지지구생태공원길,방화대교하부,서울시계,Y,전용도로,3.04,,고수부지,3,,,,,2
195,창릉천로자전거길,방화대교,덕수교,Y,전용도로,10.6,,고수부지,3,,,,,2
196,공릉천로R,필리핀참전비,지영교,Y,겸용도로,5.9,,고수부지,,,,3,,2
197,공릉천로L,제2벽제교,지영교,Y,겸용도로,3.5,,고수부지,,,,3,,2
198,평화누리자전거길1,방화대교하부,제2자유로하부(행주내동 733-8),Y,전용도로,1.66,내측,,5,,,,,3
199,평화누리자전거길2,제2자유로하부(행주내동 733-8),행주내동490-1,Y,겸용도로,0.35,내측,,,,,1.5,,3
200,평화누리자전거길3,행주내동 733-9,행주외동 4-4,Y,전용도로,0.26,내측,,3,,,,,3
201,평화누리자전거길4,행주외동 443-13,신평동 27-31,Y,전용도로,4.37,내측,,4,,,,,3
202,평화누리자전거길5,신평동 26-50번지앞,신평동 26-172,Y,전용도로,0.3,도로측,,3,,,,,3
203,평화누리자전거길6,법곳동 231-13,대화동 1396-209,Y,전용도로,0.44,내측,,3,,,,,3
204,권율대로L,신원지하차도,도내교,Y,겸용도로,5.83,내측,,,,,1.5,,2
205,평화누리자전거길7,법곳동 1751-1,법곳동 1724-1,Y,전용도로,1.54,내측,,3,,,,,3
206,권율대로R,신원지하차도,도내교,Y,겸용도로,5.83,내측,,,,,1.5,,3
207,위시티로L,위시티로와 고양대로 교차점,양일초교,Y,겸용도로,1.5,내측,,,,,3,,3
208,위시티로R,위시티로와 고양대로 교차점,양일초교,Y,겸용도로,1.5,내측,,,,,2,,3
209,위시티4로L,고양국제고등학교,도촌천,Y,겸용도로,1.21,내측,,,,,2,,3
210,위시티4로R,고양국제고등학교,도촌천,Y,겸용도로,1.1,내측,,,,,2,,3
211,식사로L,위시티4로 식사로 교차로,식사교차로,Y,겸용도로,1.47,도로측,,,,,2.5,,2
212,식사로R,위시티4로 식사로 교차로,식사교차로,Y,겸용도로,1.4,도로측,,,,,2.5,,2
213,위시티2로L,일산위시티101동,식사1교차로,Y,겸용도로,0.64,내측,,,,,2,,2
214,위시티2로R,일산위시티101동,식사1교차로,Y,겸용도로,0.64,내측,,,,,2,,2
215,위시티2로11번길L,위시티2로 교차첨,위시티3로 교차점,Y,겸용도로,0.26,내측,,,,,1.5,,2
216,위시티2로11번길R,위시티4로 식사로 교차첨,식사교차로,Y,겸용도로,0.26,내측,,,,,1.5,,2
217,위시티3로L,위시티로 교차사거리,일산위시티402동앞,Y,겸용도로,0.11,내측,,,,,1.5,,2
218,위시티3로R,위시티로 교차사거리,일산위시티402동앞,Y,겸용도로,0.08,내측,,,,,1.5,,2
219,위시티1로L,일산위시티501동,위시티1로 종점,Y,겸용도로,0.37,내측,,,,,1.5,,2
220,위시티1로R,일산위시티501동,위시티1로 종점,Y,겸용도로,0.37,내측,,,,,1.5,,2
221,킨텍스제2전시장내부도로1,킨텍스제2전시장 정문,킨텍스로 교차점,Y,겸용도로,2.03,내측,,,,,2.5,,1
222,킨텍스제2전시장내부도로2,대화마을입구삼거리,한류월드로 교차사거리,Y,겸용도로,1.81,도로측,,,,,1.5,,1
223,소원로,무원로 교차삼거리,용현로 교차삼거리,Y,겸용도로,0.29,내측,,,,,1.5,,3
224,미래로L,중앙로 교차삼거리,파주시계,Y,겸용도로,3.01,내측,,,,,1.5,,1
225,미래로R,중앙로 교차삼거리,파주시계,Y,겸용도로,3.01,내측,,,,,1.5,,1
226,송파로L,송산로 교차삼거리,동폐지하차도 이전,Y,겸용도로,2.01,내측,,,,,1.5,,1
227,송파로R,송산로 교차삼거리,동폐지하차도 이전,Y,겸용도로,2.01,내측,,,,,1.5,,1
228,공릉천자전거길,공릉천3교,능선교,Y,우선차로,2.01,내측,,,,4.3,,,3
229,공릉천자전거길,원당교,신원동313-2,Y,우선도로,2.1,내측,,,,5,,,3
230,평화누리자전거길8,대화동 1396-209,신평동 26-172,Y,우선도로,5.78,도로측,,,,6,,,3
231,통세로L,원흥동673,창릉동사거리,Y,겸용도로,1.5,도로측,,,,,1.5,,3
232,통세로R,원흥동673,창릉동사거리,Y,겸용도로,1.5,도로측,,,,,1.5,,3
233,삼송로L,지출차량기지앞교차로,원흥역 권율대로,Y,겸용도로,2.29,도로측,,,,,1.5,,3
234,삼송로R,지출차량기지앞교차로,원흥역 권율대로,Y,겸용도로,2.29,도로측,,,,,1.5,,3
235,"삼원로L, 도래울로L",삼송동366-5,"워흥도래울5,6단지 사이 도래울로-덕양로교차로",Y,겸용도로,2,도로측,,,,,1.5,,3
236,"삼원로R, 도래울로R",삼송동366-5,"워흥도래울5,6단지 사이 도래울로-덕양로교차로",Y,겸용도로,2,도로측,,,,,1.5,,3
237,서오릉로R,흥도교차로,서울시계(용두동1-79),Y,겸용도로,4.54,도로측,,,,,,4,3
238,의장로L,원흥도래울마을2단지,도내동112-3,Y,겸용도로,1.72,도로측,,,,,1.5,,3
239,의장로R,원흥도래울마을2단지,도내동112-3,Y,겸용도로,1.72,도로측,,,,,1.5,,3
240,도래울3로 L,도래울초등학교,도래울바람물공원,Y,겸용도로,0.44,도로측,,,,,1.5,,3
241,도래울3로 R,도래울초등학교,도래울바람물공원,Y,겸용도로,0.44,도로측,,,,,1.5,,3
242,도래울1로 L,도내동1089,원흥동 573,Y,겸용도로,0.55,도로측,,,,,1.5,,3
243,도래울1로 R,도내동1089,원흥동 573,Y,겸용도로,0.55,도로측,,,,,1.5,,3
244,덕양로 L,도내동 897-1,향동동 65-50,Y,겸용도로,5.02,도로측,,,,,1.5,,3
245,덕양로 L,도내동 897-1,향동동 65-50,Y,겸용도로,5.02,도로측,,,,,1.5,,3
246,호수로 외1,한국예탁결제원삼거리,신평동26-217,Y,겸용도로,1.51,도로측,,,,,,3,3
247,한류월드로L,한류월드IC 회전로터리,장항동672-6,Y,겸용도로,0.94,도로측,,,,,1.5,,3
248,한류월드로R,한류월드IC 회전로터리,장항동672-6,Y,겸용도로,0.94,도로측,,,,,1.5,,3
249,도촌천자전거길1,차량등록사업소삼거리,백석동1132-20,Y,전용도로,4.43,도로측,,3.5,,,1.5,,3
250,도촌천자전거길2,백석동1132-20,신평동3-261,Y,우선차로,1.4,도로측,,,,3.5,,,3
251,신평길1,신평동3-261,신평동26-10,Y,겸용도로,0.68,도로측,,,,,,2.5,3
252,신평길2,신평동26-10,신평동26-50,Y,우선차로,0.57,도로측,,,,3.5,,,3
253,공릉천자전거길5,신원동102-1,선유동520-10,Y,겸용도로,0.7,,하천,,,,,3,3
254,공릉천자전거길6,선유동520-10,오금동544,Y,우선도로,0.6,,하천,,,4.3,,,3
255,공릉천자전거길7,오금동544,선유동468-1,Y,전용도로,0.32,,하천,3.5,,,,,3
256,삼송로L,지축차량기지앞교차로,성석삼거리,Y,겸용도로,1.8,도로측,,,,,1.5,,3
257,삼송로R,지축차량기지앞교차로,성석삼거리,Y,겸용도로,1.8,도로측,,,,,1.5,,3
258,고봉로L,봉일천교,고봉산삼거리,Y,겸용도로,4,도로측,,,,,,3,3
259,고봉로R,봉일천교,고봉산삼거리,Y,겸용도로,4,도로측,,,,,,3,3
260,평화누리자전거길9,법곳동1724-1,구산지하차도삼거리,Y,우선도로,4.6,도로측,,,,4.3,,,3
261,평화누리자전거길10,구산지하차도삼거리,구산동672-8,Y,겸용도로,1.3,도로측,,,,,,3,3
262,평화누리자전거길11,행주내동490-1,행주내동733-9,Y,우선도로,0.152,도로측,,,,5,,,3
263,향동로,중앙로삼거리,향동동371-4,Y,겸용도로,2.05,도로측,,,,,3,,3
264,평화누리자전거길12,행주외동4-4,천년초 체험농장 마을길(행주외동500-7번지 일원),Y,우선도로,0.99,도로측,,,,4,,,3
265,평화누리자전거길13,대화동 1396-209,법곳동 213-8,Y,전용도로,0.45,도로측,,3,,,,,3
266,탄현역공원길,탄현동1647,일산지하차도(탄현동1571-1),Y,겸용도로,0.92,,공원,,,,1.5,,3
267,일현로L,탄현8단지삼거리,탄현마을입구사거리,Y,겸용도로,0.79,도로측,,,,,,4,3
268,일현로R,탄현8단지삼거리,탄현마을입구사거리,Y,겸용도로,0.79,도로측,,,,,,4,3
269,마상로L,주교동526,주교동277-4,Y,겸용도로,0.53,도로측,,,,,1.5,,3
270,마상로R,주교동526,주교동277-4,Y,겸용도로,0.53,도로측,,,,,1.5,,3
