시설명1,시설명2,주소,주소(도로명),전화번호,관리자,준공일,부지면적,경기장면적,시설2,시설3,시설4,시설5,시설6,시설7,협약기간,데이터기준일자,
시립테니스장,양지테니스장,경기도 성남시 수정구 양지동 986번지(양지공원내),,031-731-2002,성남도시개발공사,1995-09-04,14.410㎡(4 359.03평),11.282㎡(3.412.81평),코트수 : 12면(클레이 : 4면 케미칼 : 8면),관리사 : 지상2층 1동,,,주차장 : 70면,조명탑 : 22개,2021-01-01~2023-12-31,2021-01-01,
시립테니스장,대원테니스장,경기도 성남시 중원구 성남동 2874번지(대원공원내),,031-753-9722,성남도시개발공사,1997-12-20,3.624㎡(1.096.26평),1.766.6㎡(534.4평),코트수 : 3면(클레이 코트),관리사 : 지상1층 1동,,,주차장 : 252면(장애인 6),조명탑 : 4개,2021-01-01~2023-12-31,2021-01-01,
시립테니스장,황송테니스장,경기도 성남시 중원구 금광1동 2449-1(황송공원),경기도 성남시 중원구 금빛로2번길 35 (금광동),031-733-8009,성남도시개발공사,1998-06-04,1.933.4㎡(584.73평),1.933.4㎡(584.73평),코트수 : 3면(클레이 코트),관리사 : 지상1층 1동,,,,조명탑 : 4개,2021-01-01~2023-12-31,2021-01-01,
시립테니스장,희망대테니스장,경기도 성남시 수정구 신흥2동 2344번지(희망대공원),경기도 성남시 수정구 공원로370번길 26. (희망대공원) (신흥동),031-739-6772,성남도시개발공사,1985-08-15,3.140㎡(949.85평),1.846㎡(558.4평),코트수 : 3면(클레이 코트),관리사 : 콘테이너 1동,,,,조명탑 : 3개,2021-01-01~2023-12-31,2021-01-01,
시립테니스장,수내테니스장,경기도 성남시 분당구 수내동 119-1번지,경기도 성남시 분당구 발이봉북로 7 (수내동),031-717-4009,성남도시개발공사,2004-05-28,10.237.5㎡(3.096평),4.405㎡(1.332.5평),코트수 : 6면(케미컬코트),관리사 : 콘테이너 1동(24㎡),,,부대시설 : 샤워장 1동(18㎡),조명탑 : 8개,2021-01-01~2023-12-31,2021-01-01,
게이트볼장,단대공원 게이트볼장,경기도 성남시 수정구 단대동 196번지,경기도 성남시 수정구 단대로16번길 25 (단대동),031-733-2255,성남도시개발공사,2004-05-24,525㎡(연면적 : 494.71㎡),,층수 1층(구조 : 경량판넬 철골조),시설현황 : 게이트볼장 1면. 휴게실,,,,,2021-01-01~2023-12-31,2021-01-01,
게이트볼장,황송공원 게이트볼장,경기도 성남시 중원구 금광동 2471번지,,031-729-4803,성남도시개발공사,2004-05-24,525㎡(연면적 : 478㎡),,층수 1층(구조 : 경량판넬 철골조),시설현황 : 게이트볼장 1면. 휴게실,,,,,2021-01-01~2023-12-31,2021-01-01,
야구장,백현야구장,경기도 성남시 분당구 정자동 1번지,분당구 분당수서로 519,031-725-7195,성남도시개발공사,2008-04-17,9.998㎡,,관리사 : 1동,부대시설 : 화장실 1동,,,,,2021-01-01~2023-12-31,2021-01-01,
야구장,리틀야구장,경기도 성남시 분당구 정자동 2번지,분당구 분당수서로 519,031-725-7195,성남도시개발공사,2013-09-25,3.380㎡,,마사토구장 : 1개소,그늘벤치 : 2개,,,,,2021-01-01~2023-12-31,2021-01-01,
다목적 운동장,구 한성정,경기도 성남시 수정구 산성동 2225번지,경기도 성남시 수정구 수정남로268번길 25 (산성동),031-739-6772,성남도시개발공사,1995-05-10,4.904㎡(1.485평),,관리사 : 1동 350㎡,시위거리 : 145m,과녁 : 3개,사대 : 10개,,,2021-01-01~2023-12-31,2021-01-01,
국궁장,율동정,경기도 성남시 분당구 율동 84번지,경기도 성남시 분당구 만세길 36,031-701-1911,성남도시개발공사,1999-04-28,6.750㎡(2.044평),,관리사 : 1동 400㎡,시위거리 : 145m,과녁 : 3개,사대 : 10개,,,2021-01-01~2023-12-31,2021-01-01,
인라인스케이트장,수내인라인스케이트장,경기도 성남시 분당구 수내동 2-1번지,분당구 분당로 50,031-718-6173,성남도시개발공사,2000-01-26,5.285㎡(1.600평),1.920㎡(30m ×64m),관리사 : 1동,음수대 : 1개소,이동화장실 : 1식,의자 20개,조명탑:4개,의자 20개,2021-01-01~2023-12-31,2021-01-01,
배수지내 체육시설,족구장 및 다목적구장,경기도 성남시 수정구 태평2동 224-11번지,,031-723-8602,성남도시개발공사,2013-10-31,6.000㎡,,클레이족구장 6면+인조잔디족구장 3면+다목적구장(풋살/농구) 1면,관리사 1동(창고포함),화장실 : 1개소,샤워실 : 1개소,,벤치 25개+가로등 9개+조명등 4개,2021-01-01~2023-12-31,2021-01-01,
배수지내 체육시설,게이트볼장,경기도 성남시 수정구 태평3동 4944-1번지(태평주배수지내),,031-723-8602,성남도시개발공사,2008-01-28,3.000㎡,,규모 : 게이트볼장 1면+창고1식,,,,,,2021-01-01~2023-12-31,2021-01-01,
배수지내 체육시설,족구장,경기도 성남시 수정구 태평3동 4944-1번지(태평주배수지내),,031-723-8602,성남도시개발공사,2010-05-17,828㎡,,규모 : 족구장 1면,이동화장실: 1동,,,,,2021-01-01~2023-12-31,2021-01-01,
배수지내 체육시설,축구장,경기도 성남시 수정구 양지동 979-8(양지배수지내),,031-723-8602,성남도시개발공사,1998-12-05,,,간이 체육시설 : 2종 2면,의자 10개,의자10개,,,,2021-01-01~2023-12-31,2021-01-01,
배수지내 체육시설,양궁장,경기도 성남시 중원구 금광동 2449-1(상대원배수지내),,031-727-9941,체육진흥과,2013-06-27,3.000㎡,,사대(과녁) : 5개,관리사 : 1동,화장실 : 1개소,샤워실 : 1개소,창고 : 1개소,안전펜스(가림막) : 1식,,2021-01-01,
황송공원인조잔디구장,,경기도 성남시 중원구 금광동 2449-1(황송공원내),,031-731-4034,성남도시개발공사,2008-11-21,7.956㎡(2.625평),,관리사 : 1동,음수대 : 1식,이동화장실 : 1식,조명탑 : 6개,,,2021-01-01~2023-12-31,2021-01-01,
판교임시축구장,,경기도 성남시 분당구 판교동 578,,031-729-3055,성남도시개발공사,2012-04-30,5.808㎡(1.760평),,경기장규격 : 82m×60m 1면,,,,,,,2021-01-01,
상대원 유소년 축구장,,경기도 성남시 중원구 상대원동 407,,031-739-6772,성남도시개발공사,2017-11-04,9967㎡,,인조잔디축구장 1면(75m~45m),인조잔디풋살장 1면(40m~22m),관리사 : 지상2층 1동,조명탑 : 8개,야외운동기구 6개,,2021-01-01~2023-12-31,2021-01-01,
탄천변 제1체육공원내 체육시설,인조잔디축구장,경기도 성남시 중원구 여수동 2-5(탄천변제1체육공원내),,031-751-8277,성남도시개발공사,2011-11-21,17.940㎡(5.436평),,인조잔디구장 2면(105m*68m 2면),관리사 : 1동,음 수 대 : 1개소,이동화장실1개소,,,2021-01-01~2023-12-31,2021-01-01,
탄천변 제1체육공원내 체육시설,모란야구장,경기도 성남시 중원구 여수동 2-5(탄천변제1체육공원내),,031-751-8277,성남도시개발공사,2004-11-01,10.178㎡ (3.084평),,인조잔디구장 : 1개소,화장실 1동,간이덕아웃,기록실,,,2021-01-01~2023-12-31,2021-01-01,
은행동다목적체육관,,경기도 성남시 중원구 은행동 200(은행공원내),경기도 성남시 중원구 순환로 357. (은행공원내) (은행동),031-748-2007,성남도시개발공사,2008-06-02,3.468㎡(1.144평),,규모 : 지하1층 지상2층,운동시설 : 배드민턴등,사무실,선수대기실,,주차장,2021-01-01~2023-12-31,2021-01-01,
파크골프장,,경기도 성남시 분당구 수내동 47번지(탄천변),,031-715-4141,성남도시개발공사,2005-12-05,11.505㎡,,규 모 : 9홀,관리사: 1동,화장실 1동,,,,2021-01-01~2023-12-31,2021-01-01,
운중체육공원,체육공원1호,경기도 성남시 분당구 운중동 113일원(1.2.3호 체육공원),,031-727-9941,성남도시개발공사,2009-12-31,11.988㎡,,배트민턴장 3면,농구장 2면,족구장 1면,게이트볼장 1면,,,2021-01-01~2023-12-31,2021-01-01,
운중체육공원,체육공원2호,경기도 성남시 분당구 운중동 113일원(1.2.3호 체육공원),,031-727-9941,성남도시개발공사,2009-12-31,10.609㎡,,인라인 하키장 : 3면,풋살장 : 2면,,,,,2021-01-01~2023-12-31,2021-01-01,
운중체육공원,체육공원3호,경기도 성남시 분당구 운중동 113일원(1.2.3호 체육공원),,031-727-9941,성남도시개발공사,2009-12-31,12.622㎡,,X-GAME장 : 1면,,,,,,2021-01-01~2023-12-31,2021-01-01,
배드민턴장,산성실내배드민턴장,경기도 성남시 수정구 산성동 산6번지,경기도 성남시 수정로456번길 19,031-731-6152,성남도시개발공사,2014-09-26,9.057㎡,,배드민턴 12면,어린이집(85명),샤워실,락카품,귀빈실,용품점,2020-10-01~2023-09-30,2021-01-01,
야탑동 임시 풋살장,풋살장,경기도 성남시 분당구 야탑동 4-2,경기도 성남시 분당구 새나리로 58,031-727-9941,성남도시개발공사,2019-08-02,,"1,104㎡",풋살장 1면+다목적구장 1면,,,,,,2021-01-01~2023-12-31,2021-01-01,
금토동 다목적 구장,다목적구장,경기도 성남시 수정구 금토동 495-2,,031-727-9941,성남도시개발공사,2019-11-21,,"3,814㎡",풋살장 1면+다목적구장 1면,,,,,,2021-01-01~2023-12-31,2021-01-01,
배뫼산 체육시설,축구장,경기도 성남시 수정구 둔전동 225-2,,031-727-9941,성남도시개발공사,2020-05-27,"35,000㎡",,축구장 : 2면,화장실 : 1동,,,,,2021-01-01~2023-12-31,2021-01-01,
여수유소년축구장,축구장,경기도 성남시 중원구 여수동 413번지 일원,,031-729-3626,,2020-07-30,6825㎡,,축구장 : 1면,화장실,샤워실(남 여),(관리실)휴게실,조명탑:4개,주차장,미협약,2021-01-01,
판교체육시설(구 자연장지),테니스+배드민턴+족구+농구+그라운드골프,경기도 성남시 분당구 백현동 524번지 일원,,031-729-3626,,2020-12-15,16464㎡,,테니스4면+그라운드골프1면+배드민턴 3면+족구1면+농구1/2,화장실,샤워실(남 여),관리동,조명탑:9개+cctv7개,주차장,미협약,2021-01-01,
여수지하차도상부그라운드골프장,그라운드골프,경기도 성남시 중원구 여수동 271-2외 10필지,,031-729-3626,,2020-12-22,2129.5㎡,,그라운드골프 1면,,,,,,미협약,2021-01-01,
