업소명,도로명주소,지번주소,우편번호,위도,경도,업종,착한가격 품목,가격(원),전화번호,기준일자
남시촌참닭,경기도 양평군 강상면 강남로 802,경기도 양평군 강상면 병산리 431-2번지,12571,37.49134834,127.4670137,일반음식점,닭갈비,12000,031-774-1707,2021-05-11
왕창 아구찜,경기도 양평군 강하면 왕창로 17-12,경기도 양평군 강하면 왕창리 647-2번지,12574,37.47845517,127.3878025,한식점업,동태알탕,8000,031-774-1597,2021-05-11
금호정,경기도 양평군 강하면 운심길 51,경기도 양평군 강하면 운심리 50-1번지,12574,37.49619635,127.4117027,한식점업,김치찌개,7000,031-772-0035,2021-05-11
하늘촌 보리밥,경기도 양평군 개군면 불곡부처울길 22,경기도 양평군 개군면 불곡리 128-3번지,12566,37.4509376,127.5403402,한식점업,보리밥,8000,031-775-3633,2021-05-11
단월식당,경기도 양평군 단월면 보룡길 61,경기도 양평군 단월면 보룡리 342-26번지,12529,37.53906972,127.6736281,일반음식점,된장찌개,7000,031-771-7829,2021-05-11
고향칼국수,경기도 양평군 양동면 양동로 1844,경기도 양평군 양동면 쌍학리 155-9번지,12539,37.41571707,127.7536123,일반음식점,칼국수,6000,031-772-9810,2021-05-11
계정횟집,경기도 양평군 양동면 양서북로 666-13,경기도 양평군 양동면 계정리 744-3번지,12535,37.46895918,127.7746681,일반음식점,송어회,13000,031-773-1556,2021-05-11
서라벌식당,경기도 양평군 양서면 북한강로 15-2,경기도 양평군 양서면 양수리 1023번지,12585,37.54541539,127.3204141,한식점업,부대찌개,8000,031-773-0062,2021-05-11
양서민물매운탕,경기도 양평군 양서면 북한강로 15-3,경기도 양평군 양서면 양수리 1021번지,12585,37.54546951,127.3204366,한식점업,어죽,8000,031-773-5013,2021-05-11
대박식당,경기도 양평군 양서면 양수로150번길 3,경기도 양평군 양서면 양수리 556-18번지,12585,37.54462099,127.3196236,한식점업,선지해장국,6000,031-771-8068,2021-05-11
창범이네 맛집,경기도 양평군 양서면 양수로150번길 3-11,경기도 양평군 양서면 양수리 556-4,12585,37.54498176,127.3197699,한식점업,돼지국밥,7000,031-773-2673,2021-05-11
장터영양탕,경기도 양평군 양서면 양수로150번길 5,경기도 양평군 양서면 양수리1046번지,12585,37.54481075,127.3199288,한식점업,영양탕,10000,031-774-9329,2021-05-11
삿갓봉뽕잎해물칼국수,경기도 양평군 양평읍 경강로 2335-12,경기도 양평군 양평읍 대흥리 677-2번지,12548,37.49224016,127.5348533,한식 음식점업,해물칼국수,6000,031-774-1259,2021-05-11
부산돼지국밥,경기도 양평군 양평읍 시민로 150,경기도 양평군 양평읍 창대리 635-2번지,12560,37.49011778,127.5082804,일반음식점,돼지국밥,7000,031-775-0701,2021-05-11
양평터미널 부대찌개,경기도 양평군 양평읍 시민로 76,경기도 양평군 양평읍 공흥리 464-5번지,12561,37.49069495,127.4999661,한식점업,부대찌개,9000,031-771-2646,2021-05-11
남춘천닭갈비,경기도 양평군 양평읍 시민로78번길 9-1,경기도 양평군 양평읍 공흥리 441-11번지,12561,37.49008202,127.5006222,한식점업,닭갈비,11000,031-771-2103,2021-05-11
힘찬갯벌낙지,경기도 양평군 양평읍 양평시장1길 15,경기도 양평군 양평읍 양근리 351-8번지,12556,37.48993747,127.4911201,한식점업,굴해장국,6000,031-771-4733,2021-05-11
금학식당,경기도 양평군 양평읍 양평시장1길 3,경기도 양평군 양평읍 양근리 301-6번지,12556,37.48932463,127.4924098,일반음식점,콩비지,7000,031-774-4047,2021-05-11
백운정육점식당,경기도 양평군 양평읍 양평시장1길 6-2,경기도 양평군 양평읍 양근리 353-12번지,12556,37.48960403,127.4921609,일반음식점,한우차돌(200g),20000,031-774-0788,2021-05-11
중앙식당,경기도 양평군 양평읍 양평시장길7번길 4,경기도 양평군 양평읍 양근리 353-16번지,12556,37.48973023,127.49224,한식점업,만두국,8000,031-771-2666,2021-05-11
동현식당,경기도 양평군 양평읍 양근로 170-6,경기도 양평군 양평읍 양근리 444-3번지,12555,37.49101887,127.4884164,한식점업,순두부찌개,7000,031-773-5760,2021-05-11
진고개집,경기도 양평군 양평읍 양평시장길8번길 6,경기도 양평군 양평읍 양근리 167-10번지,12556,37.49011786,127.4929187,한식점업,소머리국밥,8000,031-775-0878,2021-05-11
양평명품한우,경기도 양평군 양평읍 양평장터길 5,경기도 양평군 양평읍 양근리 167-6번지,12556,37.49005478,127.4932242,일반음식점,설렁탕,8000,031-775-6292,2021-05-11
몽실식당,경기도 양평군 양평읍 양평장터길 9-1,경기도 양평군 양평읍 양근리 167-27번지,12556,37.49028011,127.4929979,한식점업,된장찌개,6000,031-771-9296,2021-05-11
전주콩나물국밥,경기도 양평군 옥천면 경강로 1446,경기도 양평군 옥천면 아신리 420-5번지,12508,37.51143179,127.4454154,일반음식점,콩나물국밥,8000,031-771-9687,2021-05-11
멸치국수 전문점,경기도 양평군 용문면 다문중앙1길 6,경기도 양평군 용문면 다문리 721-2번지,12522,37.48445707,127.5928193,한식점업,국수,4000,031-775-9776,2021-05-11
심미세탁소,경기도 양평군 용문면 연수로 7 (심미아파트 상가 103호),경기도 양평군 용문면 다문리 647번지 심미아파트 상가 103호,12515,37.48833313,127.5925978,세탁업,정장상의드라이,3500,,2021-05-11
솔잎칼국수,경기도 양평군 용문면 용문로 385,경기도 양평군 용문면 다문리 332-1번지,12522,37.48626654,127.5956833,한식점업,솔잎콩국수,7000,031-774-3851,2021-05-11
한섬갈비,경기도 양평군 용문면 용문로 802,경기도 양평군 용문면 광탄리 74-14번지,12513,37.50689237,127.6306489,일반음식점,돼지갈비(250g),12000,031-773-3488,2021-05-11
메밀촌 두부마을,경기도 양평군 용문면 용문산로 514,경기도 양평군 용문면 신점리 294-1번지,12510,37.53694451,127.5915826,일반음식점,메밀막국수,7000,031-773-4247,2021-05-11
산채한우목장,경기도 양평군 용문면 용문시장2길 11,경기도 양평군 용문면 다문리 307-5번지,12523,37.48395979,127.5947528,일반음식점,한우탕,8000,031-771-1173,2021-05-11
삼공팔공식당,경기도 양평군 용문면 용문시장5길 14,경기도 양평군 용문면 다문리 325-5번지,12523,37.48445513,127.5952625,한식점업,순두부찌개,7000,031-771-3080,2021-05-11
영동식당,경기도 양평군 용문면 용문시장6길 1,경기도 양평군 용문면 다문리 320-15번지,12523,37.48588792,127.5957394,한식점업,뼈다귀해장국,7000,031-772-9229,2021-05-11
양평해장국,경기도 양평군 용문면 용문역길 16,경기도 양평군 용문면 다문리 736-5번지,12520,37.48290585,127.5939145,한식점업,선지해장국,8000,031-773-6339,2021-05-11
옹고집닭갈비,경기도 양평군 용문면 용문역길 7-5,경기도 양평군 용문면 다문리 732-2번지,12523,37.48396946,127.5939271,일반음식점,닭갈비(200g),10000,031-773-8592,2021-05-11
명진식당,경기도 양평군 용문면 용문역길 8,경기도 양평군 용문면 다문리 736-1번지,12520,37.48342901,127.5934627,일반음식점,김치찌개,6000,031-773-7693,2021-05-11
지평보리밥집,경기도 양평군 지평면 지평로 396,경기도 양평군 지평면 지평리 511-2번지,12541,37.47558075,127.6369504,한식점업,보리밥,7000,031-773-7423,2021-05-11
천호각,경기도 양평군 청운면 용두민속장터길 12-1,경기도 양평군 청운면 용두리 717-9번지,12530,37.55356829,127.7095963,한식점업,짜장면,5000,031-771-4705,2021-05-11
농협이용원,경기도 양평군 청운면 청운로 11,경기도 양평군 청운면 용두리 630-16번지,12530,37.55454891,127.7106407,서비스/이용원,컷트,9000,031-774-2843,2021-05-11
