,장소이름,소개,가격대,요리,특별식 제공,식사 시간,특징
254,백선횟집,,,,,,
255,아일랜드팩토리,,,,,,
256,고불락,,,,,,
257,세러데이아일랜드,,,이탈리아 요리,,,
258,아루요,,,,,,
259,효섬마을초가집,,,,,,
260,서울식당,,,,,,
261,해와달그리고섬,,,,,,
262,사려니숲길화덕피자,,,,,,
263,탐앤탐스,,,,,,
264,카카듀카페,,,,,,
265,덤장,,,"해산물, 아시아 요리, 한국",,,
266,제주KAL호텔프리미엄뷔페,,,,,,
267,산지해장국,,,,,,
268,커피콩,,,,,,
269,해광식당,,,,,,
270,카페예그리나,,,,,,
271,태백산,,,,,,
272,월정리갈비밥,,,"바베큐, 아시아 요리, 한국",,,
273,제주마당,,,,,,
274,모살,,,,,,
275,오름위에,,,,,,
276,춘심이네3,,,,,,
277,곰막,,,,,,
278,오병장,,,"아시아 요리, 한국",,,
279,풍전,,,,,,
280,오현돼지불백,,,,,,
281,황금무지개초밥,,,,,,
282,홍소반,,,,,,
283,맛있는폴부엌,,,,,,
284,뼈대감,,,,,,
285,투썸플레이스,,,,,,
286,루스트플레이스 시청점,,,,,,
287,젠레스토랑,,,,,,
288,광치기흑돼지정육식당,,,"바베큐, 아시아 요리, 한국",,,
289,삼다도횟집,,,,,,
290,야자수식당,,,,,,
291,제스피,,,,,저녁식사,
292,제주정지,,,,,,
293,바다속고등어쌈밥,,,,,,
294,큐티파이 카페,,,"카페, 퓨전",,,
295,BBQ치킨,,,,,,
296,생이소리,,,,,,
297,남춘식당,,,,,,
298,제주한면가,,,한국,,,
299,카페베네,,,,,,
300,북촌9길빵,,,,,,
301,잇수다,,,,,,
302,죽이야기 제주한국병원점,,,"아시아 요리, 한국",,,
303,삼일식당,,,"아시아 요리, 한국",,,
304,설심당,,,,,,
305,인판포카페,,,"미국 요리, 남미 요리",,"아침식사, 점심식사, 저녁식사",
306,모드락,,,,,,
307,곤밥보리밥,,,,,,
308,만조이천쌀밥,,,,,,
309,제주한라국수,,,"아시아 요리, 한국",,,
310,사형제 횟집,,,"해산물, 아시아 요리, 한국",,,
311,비바리짬뽕,,,,,,
312,테왁,,,,,,
313,아일랜드조르바,,,,,,
314,착한튀김,,,,,,
315,백성원해장국,,,,,,
316,저지오름국수,,,,,,
317,도갈비,,,"아시아 요리, 한국",,저녁식사,
318,대풍미락,,,,,,
319,스시우다,,,"일본 요리, 인터내셔널",,,
320,카페베네 제주시청점,,,카페,,저녁식사,
321,먹물먹은흑돼지,,,,,,
322,BBQ치킨,,,,,,
323,7번가피자,,,,,,
324,숨비소리횟집,,,,,,
325,바다를달리는자전거,,,,,,
326,보엠,,,,,,
327,VIPS,,,,,,
328,월정어촌계,,,,,,
329,협재삼춘네횟집,,,,,,
330,순이네식당,,,,,,
331,봉플라봉뱅,,,"이탈리아 요리, 프랑스 요리, 유럽 요리, 다이너, 와인 바",,,
332,돈사촌,,,,,,
333,BHC치킨,,,,,,
334,우도로93,,,"일본 요리, 아시아 요리, 한국, 퓨전",,점심식사,
335,친구테이블,,,,,,
336,고집78,,,"바베큐, 아시아 요리, 한국",,,
337,키친그듸,제주의 맛을 담은 정갈한 가정식 키친그듸 입니다. 제주산 제철재료로 반찬을 하고 신선한 재료로 요리합니다. 돔베고기 갈치조림 전복물회 해물뚝배기 게우볶음밥 제주산생물고등어조림 모두 인기메뉴입니다. 사계절내내 살얼음 가득한 전복물회와 돔베고기 드시러 오세요^^ 베이베체어 베이비식기 주차장 완비 전기차 충전기있습니다.,"₩10,000 - ₩12,000","아시아 요리, 한국, 퓨전",,,
338,섬마을청년회관,,"₩10,000 - ₩15,000","이탈리아 요리, 미국 요리, 유럽 요리, 아시아 요리",,"브런치, 음료, 아침식사, 점심식사","테이크아웃, 예약, 무료 와이파이"
339,돈향기,,,,,,
340,땅땅치킨 연동점,,,,,,
341,흑본오겹,,,"아시아 요리, 한국",,,
342,돈사무소,,,"아시아 요리, 한국, 그릴",,,
343,듬돌,,,,,,
344,한림바다체험마을,,,,,,
345,김가네 노형점,,,"아시아 요리, 한국",,,
346,쇼디치카페,,,,,,
347,버거307 - 협재점,,,"미국 요리, 패스트푸드, 인터내셔널, 그릴, 길거리 음식",,,
348,숨어있는집,,,"아시아 요리, 한국",,,
349,러빙헛 제주,,,"아시아 요리, 한국",,,
350,어애랑,,,,,,
351,바당지기,,,"아시아 요리, 한국",,,
352,티엔비비스트로,,,,,,
353,소라횟집,,,,,,
354,얌얌돈까스,,,,,,
355,천금반점,,,,,,
356,고로케야,,,,,,
357,제주대어,,"₩50,000 - ₩178,000","일본 요리, 해산물, 스시, 아시아 요리, 한국, 수프",,"아침식사, 점심식사, 저녁식사","예약, 주차 가능, 무료 주차장, 무료 야외 주차, 휠체어 이용 가능, 주류 판매, 전자 결제, 무료 와이파이, 신용카드 결제 가능"
358,양가형제,,,"미국 요리, 패스트푸드, 퓨전",,,
359,로뎀가든,,,,,,
360,수목원삼계탕,,,,,,
361,맛고을명가,,,,,,
362,오크라,수제돈까스 전문점 주인이 종업원없이 혼자하는곳으로 건강을 생각하며 요리하는곳. 메뉴는 수제돈까스하나. 돼지고기는 제주산을쓰며 돈까스 주문시 샐러드가 나온다. 샐러드 드레싱 카놀라유 튀김기름.식수등 곁들이는 김치까지 직접담그는곳 영업은 1층에서만 하면 매장은 아담한편으로 아기자기하고 빈티지한 소품들로 꾸며져있다 종업원없이 혼자하기떄문에 식사대기시간이 길수있으며 준비한재료가 다떨어지면 영업을완료한다.,"₩9,900 - ₩10,000",,,,
363,흑돼지촌,,,,,,
364,컴플리트,,,,,,
365,순정문어,,,,,,
366,하나로국밥,,,,,,
367,도다모,,,"이탈리아 요리, 일본 요리",,,
368,애월리에,,,"이탈리아 요리, 아시아 요리, 한국, 그릴, 퓨전, 다이너",,,
369,소드래,,,,,,
370,협재만섬식당,,,,,,
371,덕승식당,,,,,,
372,1950하우스,,,,,,
373,맘스터치,,,,,,
374,코리아식당,,,,,,
375,갱이네보말칼국수,,,,,,
376,명랑식당,,,,,,
377,백번가든,,,,,,
378,제갈양,,,,,,
379,청해야횟집,,,,,,
380,제원칼집,,,,,,
381,제주포도원흑돼지,,,,,,
382,고전떡볶이,,,,,,
383,엠츄로,,,,,,
384,어디가코,,,,,,
385,아란 9길,,,"지중해 요리, 스페인 요리, 펍, 개스트로펍",,,
386,까페 아꼬떼,,,카페,,,
387,생돈우리,,,,,"점심식사, 저녁식사",
388,하루E수다,,,,,,
389,르에스까르고,,,,,,
390,체면,"명품한우 vs 프리미엄 와규(흑우)를 개인화로로 즐기실수 있습니다. 소고기직화구이와 궁합이 잘맞는 향신료씨즈닝. 소고기를 극대화 할수있는 생와사비, 머스타드홀그레인이 함께 제공됩니다. 그밖에 아시아특화요리로써 특색있는 면요리와 특선요리를 선별하여, 메뉴 고유의 특성을 해치지 않는 범위 안에서 한국인 입맛에 맞게 순화및 구성하였습니다. 항상 떳떳한 음식을 만들어 제공할수 있도록 노력하겠습니다 .",₩8 - ₩17,"중국 요리, 일본 요리, 아시아 요리, 그릴, 퓨전",,,"테이크아웃, 예약, 야외석, 좌석, 주차 가능, 노상 주차, 무료 주차장, 텔레비전, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 마스터카드, 비자카드, 무료 와이파이"
391,탑부평식당,,,,,,
392,고망딱새,,,,,,
393,롯데리아 제주공항,,,,,,
394,한질동네,,,,,,
395,솔지식당,,,,,,
396,오누이 회국수&전복돌솥밥,,,"해산물, 아시아 요리, 한국",,,
397,꿈에그린레스토랑,,,,,,
398,라마네 의식주,,,베트남 요리,,,
399,또바기,,,,,,
400,한푼리횟집,,,,,,
401,닥마루가든,,,,,,
402,배롱개,,,,,,
403,제니의정원,,,,,,
404,모이세해장국,,,,,,
405,하도댁흑돼지두루치기,,,,,,
406,복뜰,,,,,,
407,이가전복,,,,,,
408,부엌인세화,,,,,,
409,쉴만한물가,,,,,,
410,영천횟집,,,,,,
411,한스델리,,,,,,
412,별방길쉼터,,,"해산물, 아시아 요리, 한국",,,
413,바당지기식당,,,,,,
414,솔향,,,,,,
415,대금식당,,,,,,
416,보스코화덕피자,,,,,"점심식사, 저녁식사",
417,바다회국수,,,,,,
418,대원가,,,,,,
419,아궁이연탄집,,,,,,
420,황부자왕통갈비,,,,,,
421,별미해장국,,,,,,
422,한라생돈,,,,,,
423,사라오름,,,,,,
424,예소담,,,,,,
425,동도원,,,,,,
426,모살물,,,,,,
427,금복촌,,,,,,
428,오는정,,,,,,
429,섬소나이,,,,,,
430,두루두루,,,,,,
431,어부지리,,,,,,
432,부지깽이,,,,,,
433,제주김만복 - 애월점,,,"아시아 요리, 한국",,"점심식사, 저녁식사",
434,Bada Janchi,,,,,"아침식사, 점심식사, 저녁식사",
435,Yellow Cafe,,,카페,,"아침식사, 점심식사, 저녁식사",
436,공차,,,,,,
437,뚜레쥬르,,,,,,
438,다시버시,,,"아시아 요리, 한국",,,
439,대문집생선조림,,,,,,
440,순희밥상,,,,,,
441,베스킨라빈스31,,,,,,
442,가래콩물,,,,,,
443,엉클통김밥,,,,,,
444,국수마씸,,,,,,
445,엉덩물물회,,,,,,
446,남해횟집,,,,,,
447,선흘방주할머니식당,,,"아시아 요리, 한국",,,
448,종달리엔엄마식당,,,"일본 요리, 아시아 요리, 한국",,,
449,하루하나,,,,,,
450,제주이야기,,,,,,
451,오션횟집,,,,,,
452,던킨도너츠,,,,,,
453,대굴대굴굴구이,,,,,,
454,진영식당,,,,,,
455,카페베네 제주공항점,,,카페,,,
456,미스터피자,,,,,,
457,애월튀김간,,,,,,
458,종달해녀의집,,,,,,
459,테이스트 제주,,"₩4,706 - ₩17,647","펍, 유럽 요리, 헝가리",채식주의 식단,"점심식사, 저녁식사, 브런치, 음료","테이크아웃, 예약, 야외석, 좌석, 주차 가능, 노상 주차, 무료 야외 주차, 텔레비전, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 아메리칸 익스프레스, 마스터카드, 비자카드, 전자 결제, 무료 와이파이, 디스커버 카드, 휠체어 이용 가능, 신용카드 결제 가능"
460,버거킹 신제주이마트점,,,,,,
461,함흥면옥,,,,,,
462,진진,,,,,,
463,누룽지식당,,,,,,
464,어멍,,,,,,
465,바다는안보여요,,,,,,
466,짱구분식,,,,,,
467,어매흑돼지,,,,,,
468,해월정,,,,,,
469,이노우에스시,,,,,,
470,아방카페,,,,,,
471,제주할망오메기떡,,,,,,
472,이어도,,,,,,
473,미르오메기떡,,,,,,
474,낭푼밥상,,,,,"점심식사, 저녁식사",
475,만세국수,,,,,,
476,코코찌봉,,,바베큐,,,
477,엔제리너스,,,,,,
478,푸주옥,,,,,,
479,제주깍두기,,,,,,
480,축산삼다가,,,,,,
481,갤러리카페,,,,,,
482,순옥이네해산물,,,,,,
483,집나간왕새우바람난조개구이,,,,,,
484,뜰채횟집,,,,,,
485,대돈,,,"아시아 요리, 한국",,,
486,한라축산정육식당,,,"아시아 요리, 한국",,,
487,한라산도야지,,,,,,
488,홍돈,,,,,,
489,정치망 횟집,,,,,,
490,카페 다금바리스타,,,카페,,,
491,곶감식당,,,"아시아 요리, 한국",,,
492,슬슬슬로우,,"₩5,000 - ₩30,000",,,,
493,노형맛김밥,,,,,,
494,선흘방주할머니식당,,,,,"점심식사, 저녁식사",
495,비테비테,,,,,,
496,피자클래스,,,,,,
497,스테이크 하우스,제주의 높은 하늘 속에서 환상적인 전망과 함께 로맨틱한 식사를 만끽하세요. 신선한 해산물과 최고급 소고기를 자랑하는 스테이크 하우스에서 고급 와인과의 풍미로운 페어링을 경험해보시고 정성이 깃든 디저트 한 조각까지 놓치지 마세요. 특별한 날을 기념하기에 완벽한 공간입니다.,"₩50,000 - ₩250,000","스테이크하우스, 해산물, 인터내셔널, 그릴, 와인 바",,"점심식사, 저녁식사",
498,현가네해장국뼈감탕,,,,,"점심식사, 저녁식사",
499,윤가정식,,,,,,
500,유코식당,"유코 식당에서는 월정리의 아름다운 해변 뷰와 함께 싱싱한 숙성 연어회와 맛있는 식사, 안주와 술을 즐기실 수 있어요 :) 또한 월정리에서 유일하게 저녁6시부터 손님이 원하시는 시간까지 심야식당을 운영하고 있습니다(보통 새벽 1-2시에 마감해요). 혼자 오셔도 편하고 즐거운 시간을, 제주도를 방문하시는 손님들께는 소소한 여행의 추억을 만들어 드리는 것이 주인장의 신념이에요^^ 매달 진행하는 와인 이벤트 등 다양한 이벤트도 준비되어 있으니 아래의 인스타그램 주소를 팔로우 하셔서 최신 뉴스도 받아보시기 바랍니다. ^^ *공식 인스타그램 - http://www.instagram.com/yukosigdang_official","₩10,000 - ₩20,000","일본 요리, 유럽 요리, 아시아 요리, 한국, 펍, 와인 바",,저녁식사,
501,삼대국수회관,,,,,,
502,해오름정육식당,,,,,,
503,카페베네 제주국기로점,,,카페,,,
504,선진횟집,,,,,,
505,종로3가감자탕,,,,,,
506,천궁 횟집,,,일본 요리,,,
507,홋카이도,,,일본 요리,,"점심식사, 저녁식사",
508,맵찜,,,,,"점심식사, 저녁식사",
509,동문식당,,,,,,
510,크루아창타이,,,,,,
511,종가전복,,,"아시아 요리, 한국",,,
512,동경구락부,,,,,,
513,산지로식당,,,"해산물, 아시아 요리, 한국",,,
514,아라찐빵,,,,,,
515,샤라의 정원,,,퓨전,,,
516,UFO까페앤레스토랑,,,바,,"점심식사, 저녁식사",
517,웨알프맥주집,,,"일본 요리, 카리브해 요리, 펍, 퓨전, 자메이카, 일본식 퓨전",,저녁식사,
518,연정식당,,,,,,
519,딤섬9898,,,,,,
520,하임지칼국수,,,,,,
521,바바오럼,,,카페,,"점심식사, 저녁식사",
522,벵디,,,,,,
523,뚱딴지,,,,,,
524,문개항아리,,,,,,
525,Taco Massim,,,멕시코 요리,,,
526,초원흑돼지,,,,,,
527,갯것이식당,,,,,,
528,김명자굴국밥,,,,,,
529,오짜장,,,,,,
530,모리벤,,,,,,
531,협재온다정,,,"해산물, 아시아 요리, 한국",,,
532,제주 아살람레스토랑,,,"지중해 요리, 바베큐, 터키, 중동 요리, 이집트, 아랍어",,"점심식사, 저녁식사",
533,Saebil,,,"카페, 아시아 요리, 한국",,,
534,맘스터치,,,,,,
535,파리바게뜨,,,,,,
536,삼미횟집,,,,,,
537,제주바닷가의 나루터,,,스시,,,
538,도두반점,,,,,,
539,만세국수전문점,,,,,,
540,곤밥2,,,"아시아 요리, 한국, 건강식",,"점심식사, 저녁식사",
541,24시국수회관,,,,,,
542,제주 해상공원,,,,,"점심식사, 저녁식사",
543,기쁨이네 감자탕,"감자탕, 해물탕, 뼈해장국, 콩나물해장국, 전복뚝배기, 해물뚝배기 등 많은 음식을 판매하고 있습니다.","₩7,000 - ₩17,000","아시아 요리, 한국, 수프",,,
544,김밥김여사네,,,,,,
545,제주맑음,,,,,,
546,하늘본닭,,,,,,
547,협재오늘,,,,,,
548,리치망고,,,,,,
549,빨간집닭발,,,,,,
550,국수나무,,,,,,
551,아침하늘,,,,,,
552,어장군,,,,,,
553,고추냉이 식당,,,"일본 요리, 카페, 아시아 요리, 한국, 다이너",,"아침식사, 점심식사",
554,킴스커틀릿,,,,,,
555,부산아지매,,,,,,
556,롯데리아,,,,,,
557,바다잔치,,,,,,
558,올레파이,,,,,,
559,만민식당,,,"아시아 요리, 한국",,,
560,어부안씨,,,,,,
561,더 크리스피,,,,,,
562,하르방보쌈,,,,,,
563,담아래 - 본점,,,"아시아 요리, 한국",,,
564,투 아일랜드,,,"패스트푸드, 아시아 요리, 한국, 펍",,"점심식사, 저녁식사",
565,흑돈촌,,,,,,
566,평대해녀촌,,,,,,
567,돈지정가든,,,,,,
568,종달리엔,,,"아시아 요리, 한국",,,
569,드롭탑,,,,,,
570,연동한우,,,,,,
571,어머니빵집,,,,,,
572,호근동,,,,,,
573,카페두다트,,,,,,
574,라포레사려니,,,,,,
575,구좌지앵,,,"이탈리아 요리, 유럽 요리, 오스트레일리아",,"점심식사, 저녁식사",
576,오르다 라운지,,,"바, 카페, 아시아 요리, 한국, 펍",,,
577,성배네아강발,,,,,,
578,순풍해장국,,,,,,
579,낭뿌리식당,,,"아시아 요리, 한국",,,
580,삼번지횟집,,,,,,
581,스나쿠타카,,,"일본 요리, 아시아 요리, 한국, 펍, 일본식 퓨전",,,
582,범양식당,,,,,,
583,착한집,,,"해산물, 아시아 요리, 한국",,"점심식사, 저녁식사",
584,이운 소나이국수,,,"아시아 요리, 한국",,,
585,비올레,,,,,,
586,표선수산마트,,,스시,,,
587,돌미롱,,,,,,
588,알이즈웰,,,,,,
589,카페100프로,,,,,,
590,핀란드,,,,,,
591,용궁라면,,,,,,
592,피자원,,,,,,
593,양자강,,,,,,
594,뜨레비양,,,,,,
595,협재떡방아,,,,,,
596,협재회관,,,,,,
597,만섬휴게소,,,,,,
598,푸짐한밥상,,,,,,
599,머물다,,,,,,
600,한솥도시락,,,,,,
601,잉꼬식당,,,,,,
602,낭만오름,,,,,,
603,검은쇠 몰고오는,,,,,,
604,제주몸국,,,,,,
605,카페와이키키,,,,,,
606,구이락,,,,,,
607,모니카,,,,,,
608,카도,,,,,,
609,논짓물,,,,,,
610,성공식당,,,,,,
611,우리네식당,,,,,,
612,서부두해변,,,,,,
613,대궁숯불갈비,,,,,,
614,후카후카,,,일본 요리,,,
615,스푼더마켓,,,,,,
616,대기야놀자,,,,,,
617,제주축협한우프라자,,,,,,
618,매우릉쭈꾸미,,,"아시아 요리, 한국",,,
619,파라바베큐,,,,,,
620,ROUTE34,,,,,,
621,온오프,,,카페,,,
622,마로네디저트,,,"카페, 아시아 요리, 한국",,"점심식사, 저녁식사",
623,브와두스베이커리카페,,,,,,
624,꿈낭밥집,,,"아시아 요리, 한국",,,
625,시골길,,,,,,
626,광령식당,,,,,,
627,삼미횟집,,,,,,
628,제주바베큐하우스,,,,,,
629,오렌지 트리 카페,,,카페,,,
630,세검정숯불갈비,,,,,,
631,미나리식당,,,,,,
632,사랑분식,,,,,,
633,달마숯불갈비,,,,,,
634,협재돗마담부엌,,,"해산물, 아시아 요리, 한국, 퓨전",,,
635,홍열이네,,,,,,
636,김선생,,,,,,
637,아침바다,,,,,,
638,숲애,,,,,,
639,초록펍,,,"바, 아시아 요리, 한국, 펍, 퓨전",,,
640,제주설심당,,,,,,
641,유명식당,,,,,,
642,남또리자연산활어회,,,,,,
643,비자향,,,,,,
644,감초식당,,,,,,
645,한림해촌,,,,,,
646,일도국수,,,,,,
647,사라,,,일본 요리,,,
648,쉐프부부,,,해산물,,,
649,아라쭈꾸미,,,,,,
650,도남해마촌,,,,,,
651,월성삼계탕,,,,,,
652,이서림,,,,,,
653,다래향,,,,,,
654,닥그네자연산,,,,,,
655,불란서식과자점,,,,,,
656,롯데리아,,,,,,
657,용우동,,,,,,
658,제주의아침,,,,,,
659,프라비타,,,,,,
660,연동길,,,,,,
661,무정식당,,,"아시아 요리, 한국",,,
662,푸주옥,,,,,,
663,제주돈대장,,,,,,
664,환이네 이태리식당,,,,,,
665,모심청국장,,,,,,
666,한라회센타,,,,,,
667,거문오름가든,,,,,,
668,우도&살레,,,,,,
669,심향,,,,,,
670,봉평메밀촌,,,,,,
671,지발,,,,,,
672,김해횟집,,,,,,
673,돈이풍덩,,,,,,
674,5월의꽃,,,,,,
675,촌가,,,,,,
676,어박사,,,,,,
677,숨비소리 - 1호점,,,,,,
678,뉴자연으로,,,,,,
679,맥도날드,,,,,,
680,가자고산중화요리,,,,,,
681,마진가,,,,,,
682,소대갈비,,,,,,
683,홈버거,,,,,,
684,제주 협재 바당고지,,,"바베큐, 아시아 요리, 한국, 그릴, 다이너",,"점심식사, 저녁식사",
685,제주 정가네밥상,,,"아시아 요리, 한국, 건강식",,,
686,함덕뚝배기,,,,,,
687,동아반점,,,,,,
688,제제김밥,,,,,,
689,물꼬해녀의집,,,,,,
690,탐라상춘,,,,,"아침식사, 점심식사, 저녁식사",
691,월정리노천의자까페,,,,,,
692,엔제리너스,,,,,,
693,씨리얼,,,카페,,,
694,벨롱,,,,,,
695,오름나그네,,,,,,
696,아마이,,,일본 요리,,,
697,별방촌횟집,,,,,,
698,어사촌도야지,,,,,,
699,Cheesus,,,"이탈리아 요리, 아시아 요리, 한국",,,
700,밥먹자,,,,,,
701,앞돈지,,,"해산물, 아시아 요리, 한국",,,
702,이레커피하우스,,,,,,
703,민준이네,,,,,,
704,김가네 제주대점,,,"아시아 요리, 한국",,,
705,해진횟집,,,,,,
706,청어림향토음식점,,,,,,
707,백년가야밀면,,,,,,
708,카페뮤로,,,"피자, 유럽 요리, 건강식",,,
709,청향샤브샤브,,,,,,
710,아루요,,,,,,
711,길섶나그네,,,,,,
712,미스닥스,,,"아시아 요리, 한국",,,
713,카페월령,,,카페,,,
714,오누이네,,,,,,
715,옛집투,,,,,,
716,요리하는목수,,,,,,
717,일도촌,,,,,,
718,소리원,,,,,,
719,현옥식당,,,,,,
720,이디하우스N카페,,,,,,
721,다인라이브가든,,,,,,
722,해야전복식당,,,,,,
723,명가국밥,,,,,,
724,모이세해장국,,,,,,
725,어림향,,,,,,
726,별난닭곰탕,,,,,,
727,금능자갈,,,,,,
728,애월해,,,한국,,,
729,대수굴식당,,,,,"점심식사, 저녁식사",
730,CAFE해밀,,,,,,
731,장원삼계탕,,,,,,
732,경애관,,,,,,
733,퀸즈브라운 - 제주 월정점,,,"아시아 요리, 한국",,,
734,파파야 수제햄버거,,"₩9,622 - ₩27,492","일본 요리, 스시, 아시아 요리, 한국",,,
735,화이트하우스,,,,,,
736,제주흑돼지한마리,,,,,,
737,바다라면,,,"아시아 요리, 한국",,,
738,영미식당,,,,,,
739,죠스떡볶이,,,,,,
740,배터지는생돈까스,,,,,,
741,소라반점,,,,,,
742,블루밍 아일랜드,,"₩4,706 - ₩11,765",카페,,"점심식사, 저녁식사",
743,더빠에야,,,"스페인 요리, 퓨전",,,
744,몬스터살롱,,,,,"점심식사, 저녁식사",
745,옹포별장가든,,,,,,
746,엄마 돼지,,,,,,
747,네꼬야,,,,,,
748,베리웰치킨,,,,,,
749,깜돈흑돼지,,,,,,
750,야한문어,,,,,,
751,우영담,,,,,,
752,대촌미락,,,,,,
753,사바사바치킨,,,,,,
754,광주생각,,,,,,
755,회양과국수군,,,,,,
756,삼다갈비,"즐거운 제주여행에서 빼놓을수 없는것이 먹거리인데요, 너무나 높은 가격에 부담을 느끼시는 경우도 있을거에요. 그래도 오랜만에 가족 연인의 여행이라서 어쩔수 없이 지갑을 열었던분들 좋은 소식을 알려드리겠습니다. 제주공항에서 3분거리에 위치한 삼다갈비에서 좋은 재료로 사용한 음식을 합리적 가격에 판매하고있습니다. 제주산 오겹살1인분에 9900원, 소고기무해장국은 5900원에 판매중입니다. 근처 상추농장과 직거래를 통해 조금이라도 신선한 쌈야채를 제공하고 식당에서 나오는것은 공급받는것 없이 정성껏 건강하게 조리해서 손님께 제공합니다. 당연한것은 당연히 지키는 정성가득 영양가득 푸짐한식단의 삼다갈비입니다. 이광고를 보시는 분들중 가격이 너무 저렴해서 진짜 제주산이냐고 생각하실수도있겠지만. 진짜 제주산 이구요","₩7,000 - ₩13,000","바베큐, 아시아 요리, 한국",,,
757,굽네치킨,,,,,,
758,국수도둑,,,,,,
759,새별오름식당,,,,,,
760,돈꼬레,,,,,,
761,산고등어 벙커,,,"해산물, 아시아 요리, 한국",,,
762,국수와냉면,,,,,,
763,설빙,,,,,,
764,달잠키친,,,,,,
765,오매식당,,,,,,
